tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	4254	0	live	KITLG	DCUA, DFNA69, FPH2, FPHH, KL-1, Kitl, MGF, SCF, SF, SHEP7, SLF, WS2F	KIT ligand	kit ligand|c-Kit ligand|familial progressive hyperpigmentation 2|mast cell growth factor|steel factor|stem cell factor	12q21.32	12	NC_000012.12	88492793	88580471	minus	10	184745	
9606	Homo sapiens	4157	0	live	MC1R	CMM5, MSH-R, SHEP2	melanocortin 1 receptor	melanocyte-stimulating hormone receptor|MC1-R|alpha melanocyte stimulating hormone receptor|melanotropin receptor	16q24.3	16	NC_000016.10	89918862	89920972	plus	1	155555	
9606	Homo sapiens	7299	0	live	TYR	ATN, CMM8, OCA1, OCA1A, OCAIA, SHEP3	tyrosinase	tyrosinase|LB24-AB|SK29-AB|monophenol monooxygenase|oculocutaneous albinism IA|tumor rejection antigen AB	11q14.3	11	NC_000011.10	89177875	89295759	plus	6	606933	
9606	Homo sapiens	3662	0	live	IRF4	LSIRF, MUM1, NF-EM5, SHEP8	interferon regulatory factor 4	interferon regulatory factor 4|lymphocyte-specific interferon regulatory factor|multiple myeloma oncogene 1	6p25.3	6	NC_000006.12	391752	411443	plus	10	601900	
9606	Homo sapiens	4948	0	live	OCA2	BEY, BEY1, BEY2, BOCA, D15S12, EYCL, EYCL2, EYCL3, HCL3, P, PED, SHEP1	OCA2 melanosomal transmembrane protein	P protein|P-protein|eye color 2 (central brown)|eye color 3 (brown)|hair color 3 (brown)|melanocyte-specific transporter protein|oculocutaneous albinism II (pink-eye dilution homolog, mouse)|pink-eyed dilution protein homolog|total brown iris pigmentation	15q12-q13.1	15	NC_000015.10	27719008	28099315	minus	30	611409	
9606	Homo sapiens	7306	0	live	TYRP1	CAS2, CATB, GP75, OCA3, TRP, TRP1, TYRP, b-PROTEIN	tyrosinase related protein 1	5,6-dihydroxyindole-2-carboxylic acid oxidase|DHICA oxidase|catalase B|glycoprotein 75|melanoma antigen gp75	9p23	9	NC_000009.12	12693385	12710285	plus	8	115501	
9606	Homo sapiens	8924	0	live	HERC2	D15F37S1, MRT38, SHEP1, jdf2, p528	HECT and RLD domain containing E3 ubiquitin protein ligase 2	E3 ubiquitin-protein ligase HERC2|HECT-type E3 ubiquitin transferase HERC2|hect domain and RCC1-like domain-containing protein 2|hect domain and RLD 2|probable E3 ubiquitin-protein ligase HERC2	15q13.1	15	NC_000015.10	28111040	28322179	minus	98	605837	
9606	Homo sapiens	51151	0	live	SLC45A2	1A1, AIM1, MATP, OCA4, SHEP5	solute carrier family 45 member 2	membrane-associated transporter protein|antigen in melanoma 1|melanoma antigen AIM1|oculocutaneous albinism type 4|protein AIM-1|underwhite	5p13.2	5	NC_000005.10	33944623	33984693	minus	8	606202	
9606	Homo sapiens	434	0	live	ASIP	AGSW, AGTI, AGTIL, ASP, SHEP9	agouti signaling protein	agouti-signaling protein|agouti signaling protein, nonagouti homolog|agouti switch protein|nonagouti homolog	20q11.22	20	NC_000020.11	34186493	34269344	plus	8	600201	
9606	Homo sapiens	55770	0	live	EXOC2	NEDFACH, SEC5, SEC5L1, Sec5p	exocyst complex component 2	exocyst complex component 2|SEC5-like 1|exocyst complex component Sec5	6p25.3	6	NC_000006.12	485154	693139	minus	33	615329	
